,timestamp,observed,predicted,threshold,norm_threshold,alertable,baseline,model_relative_error
0,1770877800,1650959583,1392718856,1330532300,1377172217,False,780822536,0.15641856388194816
1,1770879600,1898509375,1698244564,1566729694,1665365847,False,780822536,0.10548528947875224
2,1770881400,2193007291,1944612352,1759195042,1898258025,False,780822536,0.11326680947181585
3,1770883200,2470594479,2196254821,1991624711,2145097293,False,780822536,0.1110419618969771
4,1770885000,2741223541,2473414477,2310631227,2432718665,False,780822536,0.09769690796625184
5,1770886800,2848488333,2724300383,2576880913,2687445515,False,780822536,0.04359784400773953
6,1770888600,2882261250,2829180560,2693315390,2795214268,False,780822536,0.01841633543801763
7,1770890400,2949372291,2860356362,2643734552,2806200909,False,780822536,0.030181313248121244
8,1770892200,2996004583,2907020601,2670512861,2847893666,False,780822536,0.02970088313780126
9,1770894000,2957651666,2934929424,2667943444,2868182929,False,780822536,0.007682528088485184
10,1770895800,2709397083,2902047309,2738209549,2861087869,True,780822536,0.071104463501779
11,1770897600,2681997187,2661022590,2478799690,2615466865,False,780822536,0.007820514168197746
12,1770899400,2682728958,2660204821,2598018265,2644658182,False,780822536,0.008395979374968972
13,1770901200,2729508437,2633171807,2501656937,2600293090,False,780822536,0.03529449797410537
14,1770903000,2669443125,2639770431,2454353121,2593416103,False,780822536,0.011115686909418608
15,1770904800,2575787291,2596296173,2391666063,2545138646,False,780822536,0.007962179979557947
16,1770906600,2510130000,2520767332,2357984082,2480071520,False,780822536,0.004237761390844299
17,1770908400,2493133749,2464798700,2317379230,2427943832,False,780822536,0.011365234220332237
18,1770910200,2500144270,2465845483,2329980313,2431879191,False,780822536,0.013718723119926196
19,1770912000,2543879583,2478871434,2262249624,2424715981,False,780822536,0.025554727289149363
20,1770913800,2608287708,2523831029,2287323289,2464704094,False,780822536,0.032380123841767534
21,1770915600,2672245312,2625264272,2358278292,2558517777,False,780822536,0.017581110457571644
22,1770917400,2731972708,2703018555,2539180795,2662059115,False,780822536,0.0105982585093965
23,1770919200,2837382916,2815158985,2632936085,2769603260,False,780822536,0.007832545573838227
24,1770921000,2847045833,2916750679,2854564123,2901204040,True,780822536,0.0244832187778833
25,1770922800,2888781458,2905130633,2773615763,2872251916,False,780822536,0.005659540272499215
26,1770924600,2990439895,2959010387,2773593077,2912656059,False,780822536,0.010509994884882981
27,1770926400,3240009791,3081587172,2876957062,3030429645,False,780822536,0.04889572230308115
28,1770928200,3285642708,3295395728,3132612478,3254699915,False,780822536,0.002968375099414492
29,1770930000,3163423958,3346181680,3198762210,3309326813,True,780822536,0.05777212426359199
30,1770931800,3044351770,3265379716,3129514546,3231413423,True,780822536,0.07260263028014007
31,1770933600,2826661875,3117454625,2900832815,3063299173,True,780822536,0.10287496802213035
32,1770935400,2541814583,2910049432,2673541692,2850922497,True,780822536,0.14487085386275006
33,1770937200,2203530520,2594215904,2327229924,2527469409,True,780822536,0.1772997380585407
34,1770939000,1857988437,2218352065,2054514305,2177392625,True,780822536,0.19395364407211324
35,1770940800,1524957708,1841396142,1659173242,1795840417,True,780822536,0.20750636712083823
36,1770942600,1287822708,1483934899,1421748343,1468388260,True,780822536,0.15228197932971999
37,1770944400,1109728437,1278161346,1146646476,1245282628,True,780822536,0.15177849227270004
38,1770946200,981827916,1114908733,929491423,1068554405,False,780822536,0.13554393273128323
39,1770948000,907799687,986708365,782078255,935550837,False,780822536,0.08692300639667438
40,1770949800,850272083,894928831,732145581,854233019,False,780822536,0.052520538887315206
41,1770951600,827427458,848948986,701529516,812094118,False,780822536,0.026010168978462884
42,1770953400,822872395,822149347,686284177,788183055,False,780822536,0.0008786878796681471
43,1770955200,833137604,823659126,607037316,769503674,False,780822536,0.011376845738918298
44,1770957000,882956562,832674551,596166811,773547616,False,780822536,0.056947321265845015
45,1770958800,970788541,877804600,610818620,811058105,False,780822536,0.09578186914342657
46,1770960600,1151924062,949231942,785394182,908272502,False,780822536,0.17595961981042463
47,1770962400,1386566666,1147963449,965740549,1102407724,False,780822536,0.17208203748928147
48,1770964200,1679884583,1428012689,1365826133,1412466050,False,780822536,0.14993404698684587
49,1770966000,1955041041,1731061803,1599546933,1698183086,False,780822536,0.11456498012207203
50,1770967800,2252410416,1974558416,1789141106,1928204089,False,780822536,0.12335762524728086
51,1770969600,2530719791,2239742781,2035112671,2188585254,False,780822536,0.1149779643857853
52,1770971400,2790784062,2509324751,2346541501,2468628938,False,780822536,0.10085313114418955
53,1770973200,2878813541,2761695053,2614275583,2724840185,False,780822536,0.04068290159539721
54,1770975000,2870766875,2831416397,2695551227,2797450104,False,780822536,0.01370730529973807
55,1770976800,2938639166,2844002116,2627380306,2789846663,False,780822536,0.03220437918848591
56,1770978600,2998001562,2877504710,2640996970,2818377775,False,780822536,0.04019239133405095
57,1770980400,2990763750,2918080949,2651094969,2851334454,False,780822536,0.024302421413259407
58,1770982200,2739146354,2918797397,2754959637,2877837957,True,780822536,0.06558650754007866
59,1770984000,2701096354,2674966241,2492743341,2629410516,False,780822536,0.009673891477919487
60,1770985800,2715781145,2699044843,2636858287,2683498204,False,780822536,0.006162610720975456
61,1770987600,2766341145,2688834886,2557320016,2655956169,False,780822536,0.028017606989683117
62,1770989400,2753632291,2698375371,2512958061,2652021043,False,780822536,0.020066920402045794
63,1770991200,2670902187,2657342577,2452712467,2606185049,False,780822536,0.0050767901819835535
64,1770993000,2646429583,2588835095,2426051845,2548139282,False,780822536,0.021763091060488647
65,1770994800,2603903125,2511203863,2363784393,2474348995,False,780822536,0.035600119340077216
66,1770996600,2611141979,2507425027,2371559857,2473458734,False,780822536,0.03972091630180941
67,1770998400,2621320833,2508989108,2292367298,2454833655,False,780822536,0.04285310046212111
68,1771000200,2691025520,2521686209,2285178469,2462559274,False,780822536,0.06292742664142405
69,1771002000,2737132916,2615996644,2349010664,2549250149,False,780822536,0.04425662754332972
70,1771003800,2823894791,2692798433,2528960673,2651838993,False,780822536,0.04642395262664019
71,1771005600,2909652812,2767250326,2585027426,2721694601,False,780822536,0.04894140132895003
