,timestamp,observed,predicted,threshold,norm_threshold,alertable,baseline,model_relative_error
0,1770877800,2766042395,2529635059,2300857589,2472440691,False,1483331979,0.08546771966595255
1,1770879600,3013493437,2838775254,2524672254,2760249504,False,1483331979,0.057978617392953694
2,1770881400,3334073229,3066263310,2640871340,2959915318,False,1483331979,0.08032514603175803
3,1770883200,3574404687,3406602407,3068454987,3322065552,False,1483331979,0.04694551811950441
4,1770885000,3729943750,3642831506,3330905076,3564849898,False,1483331979,0.02335484120906649
5,1770886800,3782570312,3797722478,3513555878,3726680828,False,1483331979,0.004005785682801605
6,1770888600,3840831562,3832691367,3562548487,3765155647,False,1483331979,0.0021193834899027003
7,1770890400,3897788541,3911714214,3637178114,3843080189,False,1483331979,0.003572711257555108
8,1770892200,3916253125,3973469146,3740051416,3915114714,False,1483331979,0.014609888373852239
9,1770894000,3892377083,3988403452,3788967422,3938544444,False,1483331979,0.02467036645020757
10,1770895800,3838044375,3969957966,3778673516,3922136854,False,1483331979,0.034370001519328446
11,1770897600,3799204479,3880836855,3656041895,3824638115,False,1483331979,0.02148670240078436
12,1770899400,3747141354,3823142639,3594365169,3765948272,False,1483331979,0.020282470774386486
13,1770901200,3695971145,3755966810,3441863810,3677441060,False,1483331979,0.01623272007444203
14,1770903000,3586719062,3711599688,3286207718,3605251696,False,1483331979,0.034817509774619754
15,1770904800,3534715937,3667121108,3328973688,3582584253,False,1483331979,0.037458503981617125
16,1770906600,3468070000,3612030756,3300104326,3534049148,False,1483331979,0.04151033744993613
17,1770908400,3479121562,3563725925,3279559325,3492684275,False,1483331979,0.02431773696098291
18,1770910200,3504289583,3565206095,3295063215,3497670375,False,1483331979,0.017383412688128864
19,1770912000,3569131250,3623450534,3348914434,3554816509,False,1483331979,0.015219189263493742
20,1770913800,3609412916,3657216537,3423798807,3598862105,False,1483331979,0.01324415413600742
21,1770915600,3668607083,3710423165,3510987135,3660564158,False,1483331979,0.011398353940320297
22,1770917400,3777288541,3812788959,3621504509,3764967847,False,1483331979,0.00939838659786409
23,1770919200,3984154895,3926099753,3701304793,3869901013,False,1483331979,0.014571507265658154
24,1770921000,4192462812,4160475793,3931698323,4103281426,False,1483331979,0.007629648832768227
25,1770922800,4459091666,4320425227,4006322227,4241899477,False,1483331979,0.03109746320249789
26,1770924600,4622884375,4585546730,4160154760,4479198737,False,1483331979,0.00807669886833369
27,1770926400,4712239895,4696076774,4357929354,4611539919,False,1483331979,0.00343002931942199
28,1770928200,4706523437,4807136713,4495210283,4729155106,False,1483331979,0.02137740889783654
29,1770930000,4595906250,4825385925,4541219325,4754344275,False,1483331979,0.04993132203251535
30,1770931800,4375595833,4741044197,4470901317,4673508477,True,1483331979,0.08351968004993755
31,1770933600,4059220833,4562586742,4288050642,4493952717,True,1483331979,0.12400554926891803
32,1770935400,3690596875,4178581890,3945164160,4120227457,True,1483331979,0.13222387367896962
33,1770937200,3330535104,3748791100,3549355070,3698932093,True,1483331979,0.1255822211564956
34,1770939000,2939632291,3349258437,3157973987,3301437324,True,1483331979,0.1393460492504843
35,1770940800,2521733333,2943717126,2718922166,2887518386,True,1483331979,0.16733878538139624
36,1770942600,2185527291,2475221952,2246444482,2418027585,True,1483331979,0.13255138116689846
37,1770944400,1927707291,2198906025,1884803025,2120380275,False,1483331979,0.14068460251520623
38,1770946200,1769913229,1964603696,1539211726,1858255704,False,1483331979,0.1100000066726435
39,1770948000,1663521145,1774922618,1436775198,1690385763,False,1483331979,0.06696727200302585
40,1770949800,1598759374,1641477788,1329551358,1563496181,False,1483331979,0.026719726992512384
41,1770951600,1575786770,1567763376,1283596776,1496721726,False,1483331979,0.005091674935181745
42,1770953400,1582027291,1547586256,1277443376,1480050536,False,1483331979,0.02177019018314773
43,1770955200,1613601041,1562960907,1288424807,1494326882,False,1483331979,0.03138330523672487
44,1770957000,1732200625,1605815348,1372397618,1547460916,False,1483331979,0.0729622626709305
45,1770958800,1912759375,1719555311,1520119281,1669696303,False,1483331979,0.10100803400845963
46,1770960600,2315837500,1911885587,1720601137,1864064474,False,1483331979,0.17443016316991153
47,1770962400,2551378645,2361838153,2137043193,2305639413,False,1483331979,0.07428944048404858
48,1770964200,2809298020,2743455964,2514678494,2686261597,False,1483331979,0.02343719161557662
49,1770966000,3063544062,2890003555,2575900555,2811477805,False,1483331979,0.056646976014670426
50,1770967800,3423267187,3127072833,2701680863,3020724841,False,1483331979,0.08652387845296167
51,1770969600,3674561145,3451276903,3113129483,3366740048,False,1483331979,0.06076487318868659
52,1770971400,3816414270,3701999411,3390072981,3624017803,False,1483331979,0.02997967487423738
53,1770973200,3911425312,3866562960,3582396360,3795521310,False,1483331979,0.011469566314449417
54,1770975000,3935343750,3941950884,3671808004,3874415164,False,1483331979,0.0016789216952140457
55,1770976800,4000238958,3997448288,3722912188,3928814263,False,1483331979,0.0006976258241820763
56,1770978600,4039629687,4046159858,3812742128,3987805426,False,1483331979,0.0016165271339139953
57,1770980400,4025956250,4071087574,3871651544,4021228567,False,1483331979,0.01121008803809033
58,1770982200,3939395833,4076396332,3885111882,4028575219,False,1483331979,0.0347770330293691
59,1770984000,3908135104,3965749777,3740954817,3909551037,False,1483331979,0.014742241879261295
60,1770985800,3841609166,3926994273,3698216803,3869799906,False,1483331979,0.022226390897777237
61,1770987600,3794909375,3863438508,3549335508,3784912758,False,1483331979,0.01805817378708813
62,1770989400,3763470833,3768683357,3343291387,3662335364,False,1483331979,0.0013850310607681545
63,1770991200,3678806979,3674207061,3336059641,3589670206,False,1483331979,0.0012503830796935106
64,1770993000,3600149583,3621595763,3309669333,3543614156,False,1483331979,0.0059570247028816305
65,1770994800,3592478125,3546685821,3262519221,3475644171,False,1483331979,0.012746717560040815
66,1770996600,3649714583,3550119316,3279976436,3482583596,False,1483331979,0.027288508384711682
67,1770998400,3692859791,3603123644,3328587544,3534489619,False,1483331979,0.02429990632698787
68,1771000200,3714168750,3650382035,3416964305,3592027602,False,1483331979,0.01717388715846581
69,1771002000,3755252708,3752466883,3553030853,3702607876,False,1483331979,0.0007418475443916782
70,1771003800,3862888541,3813017774,3621733324,3765196662,False,1483331979,0.012910226756656503
71,1771005600,4036813229,3896317519,3671522559,3840118779,False,1483331979,0.03480361910001063
72,1771007400,4250702812,4143026827,3914249357,4085832459,False,1483331979,0.0253313369017528
73,1771009200,4448589895,4266860792,3952757792,4188335042,False,1483331979,0.04085094542076237
74,1771011000,4706476562,4464153306,4038761336,4357805314,False,1483331979,0.05148719064204276
75,1771012800,4804031250,4599853528,4261706108,4515316673,False,1483331979,0.04250133093951044
76,1771014600,4942031250,4765917605,4453991175,4687935998,False,1483331979,0.03563588251288374
77,1771016400,4919694270,4843534598,4559367998,4772492948,False,1483331979,0.015480570096482845
78,1771018200,4845766250,4865492632,4595349752,4797956912,False,1483331979,0.0040708488569790174
79,1771020000,4575367395,4769087125,4494551025,4700453100,False,1483331979,0.042339710295548845
80,1771021800,4294244479,4551495056,4318077326,4493140623,True,1483331979,0.05990589922348946
81,1771023600,3948904166,4222166424,4022730394,4172307416,True,1483331979,0.06919951624878201
82,1771025400,3499390312,3812427583,3621143133,3764606470,True,1483331979,0.0894548030056957
83,1771027200,3025255000,3371136451,3146341491,3314937711,True,1483331979,0.11433133768888903
84,1771029000,2624192812,2940202300,2711424830,2883007933,True,1483331979,0.12042159652101052
85,1771030800,2351904166,2606873100,2292770100,2528347350,False,1483331979,0.10840957624291227
86,1771032600,2120054375,2319138695,1893746725,2212790702,False,1483331979,0.09390528957541479
87,1771034400,1953436770,2074789707,1736642287,1990252852,False,1483331979,0.06212278731704226
88,1771036200,1819152083,1878622176,1566695746,1800640569,False,1483331979,0.032691105683658225
