,timestamp,observed,predicted,threshold,norm_threshold,alertable,baseline,model_relative_error
0,1770877800,5859927708,5379406265,4769685365,5226976040,False,1949353697,0.0820012578557906
1,1770879600,6007866458,5954160426,5543848426,5851582426,False,1949353697,0.008939285248007755
2,1770881400,6075498229,6135457585,5643031855,6012351152,False,1949353697,0.009869043449605127
3,1770883200,6052762500,6156940473,5649670653,6030123018,False,1949353697,0.017211640635164522
4,1770885000,5920573437,6186474090,5680081320,6059875897,False,1949353697,0.044911300540295955
5,1770886800,5929861875,6136954686,5571114386,5995494611,False,1949353697,0.034923715824325165
6,1770888600,5814568229,6081750595,5545027615,5947569850,False,1949353697,0.04595050835717006
7,1770890400,5737559375,6018440462,5633010732,5922083030,False,1949353697,0.048954802668164106
8,1770892200,5607481770,5935521579,5625562279,5858031754,True,1949353697,0.058500379039127935
9,1770894000,5472721250,5810418113,5469431913,5725171563,False,1949353697,0.061705474767237596
10,1770895800,5314915937,5663781939,5185879439,5544306314,False,1949353697,0.06563904417967467
11,1770897600,5250026041,5490871597,5163984427,5409149805,False,1949353697,0.04587511645068429
12,1770899400,5112690624,5270219612,4660498712,5117789387,False,1949353697,0.030811367161652062
13,1770901200,4974752083,5245982916,4835670916,5143404916,False,1949353697,0.05452147734695466
14,1770903000,4837549479,5118693957,4626268227,4995587524,False,1949353697,0.058117127115796884
15,1770904800,4699050000,4989750519,4482480699,4862933064,False,1949353697,0.06186367861589045
16,1770906600,4509379895,4850560519,4344167749,4723962327,False,1949353697,0.07566020870814212
17,1770908400,4381043541,4615146040,4049305740,4473685965,False,1949353697,0.053435328092303024
18,1770910200,4253907604,4426812289,3890089309,4292631544,False,1949353697,0.04064608381183824
19,1770912000,4297215625,4312683332,3927253602,4216325899,False,1949353697,0.0035994719254982695
20,1770913800,4366653750,4313600727,4003641427,4236110902,False,1949353697,0.012149583190560965
21,1770915600,4442415208,4352982706,4011996506,4267736156,False,1949353697,0.02013150455611352
22,1770917400,4579950520,4418069372,3940166872,4298593747,False,1949353697,0.03534561067703413
23,1770919200,4860859687,4521016976,4194129806,4439295184,False,1949353697,0.06991411661375117
24,1770921000,5082246041,4720418373,4110697473,4567988148,False,1949353697,0.07119444141055507
25,1770922800,5170562291,5044578498,4634266498,4942000498,False,1949353697,0.024365588481409517
26,1770924600,5170623437,5111164121,4618738391,4988057688,False,1949353697,0.01149944812738062
27,1770926400,4944695833,5319313285,4812043465,5192495830,False,1949353697,0.07576147545818113
28,1770928200,4636646874,5003546303,4497153533,4876948110,False,1949353697,0.07913033685126826
29,1770930000,4242414270,4715319633,4149479333,4573859558,False,1949353697,0.11147081187806772
30,1770931800,3767063541,4214857651,3678134671,4080676906,False,1949353697,0.11887086722225268
31,1770933600,3445342395,3881577232,3496147502,3785219800,True,1949353697,0.12661581549429718
32,1770935400,2967843958,3588283166,3278323866,3510793341,True,1949353697,0.2090538508022193
33,1770937200,2525011145,3417447539,3076461339,3332200989,True,1949353697,0.35343859601063266
34,1770939000,2320408854,3169717848,2691815348,3050242223,True,1949353697,0.36601695969912035
35,1770940800,2165384687,2961582534,2634695364,2879860741,True,1949353697,0.36769348734200225
36,1770942600,2041584895,2724651678,2114930778,2572221453,True,1949353697,0.3345767225614196
37,1770944400,1969989375,2586934941,2176622941,2484356941,True,1949353697,0.3131720271333951
38,1770946200,1948479166,2405196816,1912771086,2282090383,False,1949353697,0.23439698918494878
39,1770948000,1983460625,2278988587,1771718767,2152171132,False,1949353697,0.14899613245410404
40,1770949800,2098630416,2250690255,1744297485,2124092062,False,1949353697,0.07245670216189223
41,1770951600,2357236145,2293155672,1727315372,2151695597,False,1949353697,0.027184579337086314
42,1770953400,2730204479,2388010360,1851287380,2253829615,False,1949353697,0.1253364433441031
43,1770955200,3273574479,2700717235,2315287505,2604359802,False,1949353697,0.1749944128886887
44,1770957000,3995084375,3368822757,3058863457,3291332932,False,1949353697,0.15675804544178118
45,1770958800,4532329166,4022687132,3681700932,3937440582,False,1949353697,0.11244594453182309
46,1770960600,4882588541,4534231716,4056329216,4414756091,False,1949353697,0.07134675020735072
47,1770962400,5352791145,4915343279,4588456109,4833621487,False,1949353697,0.08172332044163849
48,1770964200,5895986458,5323277191,4713556291,5170846966,False,1949353697,0.09713544477750902
49,1770966000,6142738541,5950442263,5540130263,5847864263,False,1949353697,0.03130464966342119
50,1770967800,6164461458,6154773850,5662348120,6031667418,False,1949353697,0.0015715254391651353
51,1770969600,6120689270,6190038459,5682768639,6063221004,False,1949353697,0.011330290746813226
52,1770971400,5984702916,6182566296,5676173526,6055968103,False,1949353697,0.03306152081016681
53,1770973200,5931920208,6062261112,5496420812,5920801037,False,1949353697,0.02197280129024959
54,1770975000,5828074166,6004051241,5467328261,5869870496,False,1949353697,0.030194721272872697
55,1770976800,5732232291,5907519182,5522089452,5811161750,False,1949353697,0.030579167434511074
56,1770978600,5551270833,5808795665,5498836365,5731305840,False,1949353697,0.04639024824173986
57,1770980400,5401663020,5695767356,5354781156,5610520806,False,1949353697,0.05444699806542171
58,1770982200,5186630520,5536107693,5058205193,5416632068,False,1949353697,0.0673803872576603
59,1770984000,5123186458,5338480323,5011593153,5256758530,False,1949353697,0.04202342951305482
60,1770985800,5071622916,5191411069,4581690169,5038980844,False,1949353697,0.023619294057153045
61,1770987600,4927078125,5137852637,4727540637,5035274637,False,1949353697,0.04277880452727751
62,1770989400,4749027916,4996293361,4503867631,4873186929,False,1949353697,0.05206653853664144
63,1770991200,4536549687,4823723253,4316453433,4696905798,False,1949353697,0.06330219788464536
64,1770993000,4328248541,4656416581,4150023811,4529818389,False,1949353697,0.07582005443804296
65,1770994800,4212677083,4420388243,3854547943,4278928168,False,1949353697,0.049306214529997006
66,1770996600,4143117708,4302265321,3765542341,4168084576,False,1949353697,0.038412525111874034
67,1770998400,4213294166,4225141671,3839711941,4128784238,False,1949353697,0.0028119339721412655
68,1771000200,4272469791,4271495208,3961535908,4194005383,False,1949353697,0.00022810763976680858
69,1771002000,4348733333,4281731975,3940745775,4196485425,False,1949353697,0.015407097393525096
70,1771003800,4447655208,4334259991,3856357491,4214784366,False,1949353697,0.02549550531615759
71,1771005600,4622948125,4421712694,4094825524,4339990902,False,1949353697,0.04352967534110065
72,1771007400,4812247395,4665118536,4055397636,4512688311,False,1949353697,0.03057383524231717
73,1771009200,4931294479,4805563466,4395251466,4702985466,False,1949353697,0.02549655339696861
74,1771011000,5017079895,4902876624,4410450894,4779770191,False,1949353697,0.02276289662315613
75,1771012800,4919981562,5005663116,4498393296,4878845661,False,1949353697,0.01741501526383159
76,1771014600,4607111250,4877442421,4371049651,4750844229,False,1949353697,0.0586769357913812
77,1771016400,4233731249,4699724121,4133883821,4558264046,False,1949353697,0.11006671056649302
78,1771018200,3812686979,4341909571,3805186591,4207728826,False,1949353697,0.13880567560749654
79,1771020000,3448014270,3971726167,3586296437,3875368735,True,1949353697,0.15188797260981174
80,1771021800,3135586458,3619827763,3309868463,3542337938,True,1949353697,0.15443404654479473
81,1771023600,2731879166,3415303109,3074316909,3330056559,True,1949353697,0.2501662414303137
82,1771025400,2547059062,3086361163,2608458663,2966885538,True,1949353697,0.21173521613453658
83,1771027200,2410636979,2871565988,2544678818,2789844196,True,1949353697,0.19120631310949454
84,1771029000,2247171354,2675823021,2066102121,2523392796,False,1949353697,0.19075166040942687
85,1771030800,2199649791,2600712682,2190400682,2498134682,False,1949353697,0.1823303385115999
86,1771032600,2135652916,2458165282,1965739552,2335058849,False,1949353697,0.15101347395158848
87,1771034400,2112534791,2383440069,1876170249,2256622614,False,1949353697,0.1282370729013002
88,1771036200,2172617708,2336567459,1830174689,2209969266,False,1949353697,0.0754618497291563
89,1771038000,2266519791,2313152246,1747311946,2171692171,False,1949353697,0.02057447509841753
90,1771039800,2457333229,2381865887,1845142907,2247685142,False,1949353697,0.030711073740174455
91,1771041600,2880621354,2535115049,2149685319,2438757617,False,1949353697,0.11994158986575366
92,1771043400,3597264270,2917437023,2607477723,2839947198,False,1949353697,0.18898451600276786
93,1771045200,4261954583,3607087643,3266101443,3521841093,False,1949353697,0.15365413385964277
94,1771047000,4794341354,4220996910,3743094410,4101521285,False,1949353697,0.1195877393088936
95,1771048800,5273671562,4708367113,4381479943,4626645320,False,1949353697,0.10719371548910273
96,1771050600,5524785104,5244625379,4634904479,5092195154,False,1949353697,0.05070961489473347
97,1771052400,5595856874,5475234630,5064922630,5372656630,False,1949353697,0.021555634233685728
98,1771054200,5596588541,5689772910,5197347180,5566666478,False,1949353697,0.01665020901882306
99,1771056000,5567509375,5764239315,5256969495,5637421860,False,1949353697,0.03533535855069844
100,1771057800,5486176041,5769926970,5263534200,5643328778,False,1949353697,0.051721076188484635
101,1771059600,5419759791,5692871188,5127030888,5551411113,False,1949353697,0.05039178995599143
102,1771061400,5341698958,5624134885,5087411905,5489954140,False,1949353697,0.05287380086760778
103,1771063200,5288119791,5531951290,5146521560,5435593858,False,1949353697,0.046109299455542534
104,1771065000,5227301562,5491993008,5182033708,5414503183,False,1949353697,0.05063634513152658
105,1771066800,5151513541,5426205976,5085219776,5340959426,False,1949353697,0.053322665817292475
106,1771068600,5017839583,5324182902,4846280402,5204707277,False,1949353697,0.06105083949631716
107,1771070400,4908806458,5158885245,4831998075,5077163453,False,1949353697,0.05094492706927579
108,1771072200,4813720833,4978465401,4368744501,4826035176,False,1949353697,0.034223955587662974
109,1771074000,4690451041,4937161788,4526849788,4834583788,False,1949353697,0.0525985123484844
110,1771075800,4649112187,4863001236,4370575506,4739894803,False,1949353697,0.046006428839915625
111,1771077600,4592455208,4780999849,4273730029,4654182394,False,1949353697,0.041055303200683936
